Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfaction,"Institute Library web site (go/miislibrary) (e.g. library hours, policies)",3.6,192,53,4,3,4,,4,3,4,4,3,3,4,3,,4,4,3,3,4,4,3,4,,3,,3,,4,,4,4,3,3,4,3,,3,3,4,4,4,4,4,4,3,4,4,4,,4,4,4,,,,4,,,3,4,4,3,3,4,3,4,4,,,,,,,,,,
Satisfaction,Library databases (e.g. JSTOR),3.5,182,52,3,,4,3,3,3,4,4,2,4,4,4,4,4,4,3,3,3,4,2,4,3,2,,3,,4,,4,4,3,3,4,4,,,3,4,3,4,3,4,4,3,,4,4,,4,4,4,,,,4,,,4,2,4,3,3,4,3,,4,,,,,,,,,,
Satisfaction,Library e-book collections,3.2,142,44,3,3,4,3,3,2,,,2,4,4,3,,3,3,3,3,,4,,3,2,2,,3,,,,,,3,3,3,4,,,4,4,3,4,3,4,4,3,,3,,,4,4,,,2,,4,,,3,3,4,3,3,4,2,,4,,,,,,,,,,
Satisfaction,Library reference/research services,3.7,181,49,3,,4,,,4,4,4,3,4,4,4,,4,4,4,3,4,4,4,4,4,2,,3,4,4,,4,4,3,4,4,,,,3,4,3,4,4,4,4,3,,4,4,,,4,4,,,,4,,,4,4,4,2,3,4,3,3,4,,,,,,,,,,
Satisfaction,Library research instruction for academic courses,3.7,157,43,3,,4,4,,4,4,,3,4,4,3,,4,4,4,3,4,4,4,4,4,2,,3,4,,,4,4,3,,4,,,,3,4,,4,4,4,4,3,,4,4,,,4,4,,,,,,,3,3,4,,3,4,3,3,,,,,,,,,,,
Satisfaction,Library support for your scholarly research,3.6,138,38,3,,4,,,4,4,3,3,4,4,,,4,4,4,3,3,4,4,4,,1,,3,4,4,,,,3,,4,,,,3,,,4,4,4,4,3,,4,4,,,4,,,,,4,,,4,4,4,,3,4,3,,,,,,,,,,,,
Satisfaction,LibrarySearch (go/primoca),3.5,151,43,3,,4,,,2,4,,3,4,4,4,,4,4,3,3,4,4,4,4,,2,,2,4,3,,4,,3,,4,,,2,,4,,4,4,4,4,3,,3,4,,,4,4,,,,4,,,3,3,4,,3,4,3,3,4,,,,,,,,,,
Satisfaction,Online audio/video for academic or work purposes,3.6,186,52,4,,4,,3,3,,4,3,,4,3,4,4,4,4,3,3,4,,3,3,3,,2,4,4,3,4,,3,4,4,4,,3,4,,3,4,4,4,4,3,4,2,4,4,4,4,4,4,,,4,4,,3,,4,,3,4,3,3,4,,,,,,,,,,
Satisfaction,Overall library service,3.7,205,55,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,1,,3,4,4,,4,4,3,3,4,,,3,4,4,4,4,4,4,4,3,,4,4,,4,4,4,,,,4,,,4,4,4,3,3,4,3,4,4,,,,,,,,,,
Satisfaction,Physical course reserves,3.7,122,33,3,,4,,3,,,,3,4,,4,,4,4,,3,,4,4,4,,,,4,,,,4,,3,3,,,,,,4,,4,4,4,4,3,,4,,,,4,4,,,,4,4,,4,,4,,3,4,2,,4,,,,,,,,,,
Satisfaction,Physical library collections,3.4,141,41,3,3,4,,3,,,,2,4,4,4,4,4,4,,3,4,4,,4,,,,3,,2,,4,,3,3,3,3,,,,4,,4,3,4,4,3,,4,2,,,4,4,,3,,4,,,3,4,4,,3,3,2,,4,,,,,,,,,,
Satisfaction,Range of viewpoints represented in the library's collections,3.6,139,39,3,,4,,,,4,,3,4,4,,4,3,3,4,3,,4,,4,,2,,3,,,,4,4,3,3,4,,,,3,4,,4,3,4,4,3,,4,,,4,4,4,,,,4,,,4,3,4,,3,4,2,,4,,,,,,,,,,
Satisfaction,Responsiveness to your changing library needs,3.6,171,48,3,,4,,,3,4,3,3,4,4,,4,4,4,4,3,4,4,4,4,4,1,,2,,3,,4,4,3,3,4,4,,,3,4,3,4,4,4,4,3,,4,,,4,4,,,,,4,4,,3,3,4,,3,4,2,4,4,,,,,,,,,,
Satisfaction,"Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",3.2,116,36,2,,3,,,,4,2,,3,,,,4,2,1,3,,4,4,3,,2,,2,4,,,4,,3,,,4,,3,3,,,4,3,4,,3,,,4,,3,4,4,4,,,,4,,,,3,,3,4,2,3,4,,,,,,,,,,
Satisfaction,Support for your innovative ideas,3.3,139,42,2,,4,,3,3,4,,2,3,4,4,4,4,4,2,3,2,4,4,4,4,1,,3,4,,,4,,3,3,1,,,,2,4,,4,4,4,4,3,,,,,4,4,,,,,2,,,,3,4,,3,4,3,,4,,,,,,,,,,
Satisfaction,Your input into library decisions that affect you,3.6,136,38,3,,4,,,2,,,,4,4,3,,4,4,4,3,4,4,,4,,1,,,,3,,4,,3,3,4,4,,,,4,,4,3,4,4,3,,4,,,4,4,,4,,,4,4,,3,,4,,3,4,3,,4,,,,,,,,,,
Skill Level,Canvas,3.7,246,66,4,3,4,4,4,3,4,4,4,3,3,4,3,5,4,5,4,5,4,3,5,5,3,3,4,4,4,4,3,2,5,4,4,1,3,4,4,4,3,4,4,3,4,3,4,3,4,3,4,4,3,5,4,3,4,2,4,4,4,4,4,4,4,4,3,4,,,,,,,,,,
